item_id,domain,subtopic,topic,difficulty,model_name,backend,question_text,choice_a,choice_b,choice_c,choice_d,correct_choice_label,explanation,rater_id,topic_relevance,semantic_correctness,answer_key_correctness,question_clarity,acceptable,notes
Q020,C++ Programming,OOP,"C++ Programming: object-oriented programming (classes, objects, encapsulation, constructors)",hard,,local,"In C++, if a class member is declared private, which of the following is NOT a valid way to access it?",Through a public member function.,Through a friend function.,Directly from outside the class.,Through a protected member function.,C,Private members can only be accessed within the class itself or by friend functions; direct access from outside the class or through protected member functions (unless they are public) is not allowed.,Expert1,,,,,,
Q021,Python Programming,Variables & Data Types,"Python Programming: variables and data types (assignment, int/float/str/bool, type basics)",easy,,local,What is the correct way to assign an integer value to a variable in Python?,x = 5,x == 5,x := 5,"x = ""5""",A,"Variable assignment in Python uses the equals sign (=), not comparison or other operators.",Expert1,,,,,,
Q022,Python Programming,Variables & Data Types,"Python Programming: variables and data types (assignment, int/float/str/bool, type basics)",easy,,local,Which of the following is a string data type in Python?,42,3.14,True,"""hello""",D,Strings in Python are textual data types enclosed in double quotes or single quotes.,Expert1,,,,,,
Q023,Python Programming,Variables & Data Types,"Python Programming: variables and data types (assignment, int/float/str/bool, type basics)",easy,,local,What is the data type of the variable x after executing x = 10.5 in Python?,int,float,str,bool,B,Values with a decimal point are classified as floats in Python.,Expert1,,,,,,
Q024,Python Programming,Variables & Data Types,"Python Programming: variables and data types (assignment, int/float/str/bool, type basics)",easy,,local,Which of the following is NOT a boolean value in Python?,True,False,0,None,C,"Boolean values in Python are specifically True and False, while 0 is an integer that evaluates to False in a boolean context.",Expert1,,,,,,
Q025,Python Programming,Variables & Data Types,"Python Programming: variables and data types (assignment, int/float/str/bool, type basics)",easy,,local,How do you check the data type of a variable in Python?,type(variable),get_type(variable),variable.type(),is_type(variable),A,The built-in type() function is used to determine the data type of a variable in Python.,Expert1,,,,,,
Q026,Python Programming,Conditions & Loops,"Python Programming: conditions and loops (if/elif/else, for, while, indentation)",medium,,local,"What will be printed when x = 15 in the following code?
if x > 20:
    print(""A"")
elif x > 10:
    print(""B"")
else:
    print(""C"")",A,B,C,None,B,"The elif condition x > 10 is true for x=15, so 'B' is printed, while the if condition is false.",Expert1,,,,,,
Q027,Python Programming,Conditions & Loops,"Python Programming: conditions and loops (if/elif/else, for, while, indentation)",medium,,local,"What does the following code output?
for i in range(3, 6):
    print(i)",3 4 5,3 4 5 6,2 3 4,None,A,"The range(3, 6) generates numbers starting from 3 up to but not including 6, so it prints 3, 4, and 5.",Expert1,,,,,,
Q028,Python Programming,Conditions & Loops,"Python Programming: conditions and loops (if/elif/else, for, while, indentation)",medium,,local,"What is the output of the following code?
i = 0
while i < 5:
    print(i)
i += 1",0 1 2 3 4,0 1 2 3 4 5,Infinite loop,Syntax error,A,"The while loop runs as long as i is less than 5, printing i from 0 to 4, then i is incremented to 5, stopping the loop.",Expert1,,,,,,
Q029,Python Programming,Conditions & Loops,"Python Programming: conditions and loops (if/elif/else, for, while, indentation)",medium,,local,Which of the following code snippets correctly indents an if statement in Python?,"if condition:
    action",if condition: action,"if condition:
action",if condition:    action,A,"In Python, the body of an if statement must be indented, typically with 4 spaces, to define the block.",Expert1,,,,,,
Q030,Python Programming,Conditions & Loops,"Python Programming: conditions and loops (if/elif/else, for, while, indentation)",medium,,local,"To print all even numbers between 1 and 10, which code is correct?","for i in range(1, 11): if i % 2 == 0: print(i)","for i in range(2, 11, 2): print(i)",while i < 10: if i % 2 == 0: print(i); i += 1,for i in range(10): if i % 2 == 0: print(i),A,"The range(2, 11, 2) generates even numbers from 2 to 10, skipping odd numbers, so it correctly prints all even numbers.",Expert1,,,,,,
Q031,Python Programming,Functions,"Python Programming: functions (def, parameters, return, scope, lambda intro)",medium,,local,"When defining a function in Python using the def keyword, which statement is correct?",You can define parameters without names.,The function body must be indented.,You can omit the colon.,Parameters are defined after the function name.,B,"In Python, the function body must be indented to indicate it belongs to the function definition.",Expert1,,,,,,
Q032,Python Programming,Functions,"Python Programming: functions (def, parameters, return, scope, lambda intro)",medium,,local,What does the return statement do in a Python function?,It returns a value to the caller.,It prints the value.,It raises an exception.,It terminates the program.,A,The return statement sends a value back to the caller and exits the function.,Expert1,,,,,,
Q033,Python Programming,Functions,"Python Programming: functions (def, parameters, return, scope, lambda intro)",medium,,local,"If a variable is defined inside a function without the global keyword, what is its scope?",Global scope.,Enclosed scope.,Local scope.,Built-in scope.,C,Variables defined inside a function without the global keyword are local to that function and cannot be accessed outside.,Expert1,,,,,,
Q034,Python Programming,Functions,"Python Programming: functions (def, parameters, return, scope, lambda intro)",medium,,local,Which of the following is a valid lambda function in Python?,lambda x: x * 2,def (x): x * 2,lambda x: return x * 2,function lambda(x): x * 2,A,"Lambda functions in Python use the lambda keyword followed by parameters and an expression, without the def or return statement.",Expert1,,,,,,
Q035,Python Programming,Functions,"Python Programming: functions (def, parameters, return, scope, lambda intro)",medium,,local,"In Python, what is the effect of providing default values for function parameters?",It allows the function to be called with fewer arguments.,It makes the parameters immutable.,It changes the function's signature permanently.,It requires keyword arguments.,A,"Default parameter values enable functions to be called with fewer arguments than defined, using the provided defaults.",Expert1,,,,,,
Q036,Python Programming,Lists & Dictionaries,"Python Programming: lists and dictionaries (indexing, methods, keys/values, iteration)",medium,,local,"What does the following code output? list = [1, 2, 3]; print(list[1:3])","[2, 3]","[1, 2, 3]",[3],Error,A,"Slicing a list extracts elements from the start index to the end index minus one, so list[1:3] returns elements at indices 1 and 2.",Expert1,,,,,,
Q037,Python Programming,Lists & Dictionaries,"Python Programming: lists and dictionaries (indexing, methods, keys/values, iteration)",medium,,local,"Given a dictionary dict = {'a': 1, 'b': 2}, what is the correct way to iterate over the keys?",for key in dict:,for key in dict.keys():,for key in dict.values():,for key in dict.items():,A,"In Python, iterating directly over a dictionary yields the keys by default in versions 3.x.",Expert1,,,,,,
Q038,Python Programming,Lists & Dictionaries,"Python Programming: lists and dictionaries (indexing, methods, keys/values, iteration)",medium,,local,Which method is used to add an element to the end of a list?,insert(),append(),add(),extend(),B,The append() method adds a single element to the end of a list.,Expert1,,,,,,
Q039,Python Programming,Lists & Dictionaries,"Python Programming: lists and dictionaries (indexing, methods, keys/values, iteration)",medium,,local,"For a dictionary, which method returns a list of all values?",dict.values(),dict.keys(),dict.items(),dict.get(),A,The values() method returns a view object of all values in the dictionary.,Expert1,,,,,,
Q040,Python Programming,Lists & Dictionaries,"Python Programming: lists and dictionaries (indexing, methods, keys/values, iteration)",medium,,local,"What is the output of: list = [1, 2, 3]; list[2] = 4; print(list)","[1, 2, 3]","[1, 2, 4]","[1, 4, 3]",Error,B,"Assigning a value to a specific index modifies the list in place, changing the element at that index.",Expert1,,,,,,
Q041,Python Programming,OOP,"Python Programming: object-oriented programming (class, __init__, methods, inheritance basics)",hard,,local,"What is the output of the following code?
class A:
    def speak(self):
        print(""A"")

class B(A):
    def speak(self):
        super().speak()
        print(""B"")

obj = B()
obj.speak()",A,B,A and B,Error,C,"The super() call invokes the parent class method, so 'A' is printed, followed by 'B'.",Expert1,,,,,,
Q042,Python Programming,OOP,"Python Programming: object-oriented programming (class, __init__, methods, inheritance basics)",hard,,local,"Which of the following correctly initializes a child class, ensuring proper inheritance of attributes?
class Parent:
    def __init__(self, x):
        self.x = x

class Child(Parent):
    def __init__(self, y):
        # Initialization code here
",super().__init__(y)\n        self.y = y,self.x = y\n        self.y = y,self.y = y,All of the above,A,"Option A properly calls the parent's __init__ with the child's argument, ensuring the parent's attributes are initialized correctly. Option B incorrectly modifies the parent's attribute, and option C does not call the parent's __init__.",Expert1,,,,,,
Q043,Python Programming,OOP,"Python Programming: object-oriented programming (class, __init__, methods, inheritance basics)",hard,,local,"In the following code, what is the output when print_animal(d) is called?
class Animal:
    def sound(self):
        print(""Animal sound"")

class Dog(Animal):
    def sound(self):
        print(""Bark"")

def print_animal(animal):
    animal.sound()
d = Dog()",Animal sound,Bark,Error,Nothing,B,"Due to polymorphism, the Dog's overridden sound method is called, resulting in 'Bark' being printed.",Expert1,,,,,,
Q044,Python Programming,OOP,"Python Programming: object-oriented programming (class, __init__, methods, inheritance basics)",hard,,local,"Which of the following is a correct way to override a method in Python?
class Base:
    def method(self):
        print(""Base"")

class Derived(Base):
    def method(self):\n        # Implementation here","def method(self, arg):\n        print(""Derived with arg"")","def method(self):\n        print(""Derived"")",def method(self):\n        super().method(),All of the above,B,"Method overriding requires the same method signature. Option A has a different signature, so it's not overriding but overloading, which is not directly supported in Python.",Expert1,,,,,,
Q045,Python Programming,OOP,"Python Programming: object-oriented programming (class, __init__, methods, inheritance basics)",hard,,local,"Given the following classes, which statement is true about the method call?
class X:
    def method(self):
        print(""X"")

class Y(X):
    def method(self):
        print(""Y"")\n\nobj_x = X()\nobj_y = Y()",obj_x.method() calls X's method,obj_y.method() calls Y's method,Both A and B are true,obj_y.method() calls X's method,C,"Inheritance allows Y to override the method, so when obj_y.method() is called, it uses Y's method. For obj_x, it uses X's method.",Expert1,,,,,,
Q046,Java Programming,Variables & Data Types,"Java Programming: variables and data types (primitives, reference types, final, scope)",easy,,local,What is the size of the int data type in Java?,8 bits,16 bits,32 bits,64 bits,C,"In Java, int is a 32-bit signed integer.",Expert1,,,,,,
Q047,Java Programming,Variables & Data Types,"Java Programming: variables and data types (primitives, reference types, final, scope)",easy,,local,Which of the following is a reference type in Java?,int,double,String,char,C,"String is a class in Java, hence a reference type.",Expert1,,,,,,
Q048,Java Programming,Variables & Data Types,"Java Programming: variables and data types (primitives, reference types, final, scope)",easy,,local,What does the final keyword do to a variable in Java?,Makes the variable read-only once assigned,Allows multiple assignments,Declares the variable as an array,Changes the variable's scope,A,The final keyword in Java prevents reassignment of the variable.,Expert1,,,,,,
Q049,Java Programming,Variables & Data Types,"Java Programming: variables and data types (primitives, reference types, final, scope)",easy,,local,"In Java, what is the scope of a local variable?",Entire program,The method or block in which it is declared,Only the class level,Within the constructor,B,A local variable is accessible only within the method or block where it is declared.,Expert1,,,,,,
Q050,Java Programming,Variables & Data Types,"Java Programming: variables and data types (primitives, reference types, final, scope)",easy,,local,Which of the following is NOT a primitive data type in Java?,int,double,Boolean,char,C,"Boolean is a reference type, not a primitive data type in Java.",Expert1,,,,,,
Q051,Java Programming,Classes & Objects,"Java Programming: classes and objects (class definition, fields, methods, instantiation)",medium,,local,"In Java, which of the following is required for a class definition?",A constructor,A main method,Fields,None of the above; a class can be defined without any of these.,D,"A Java class does not require a constructor, main method, or fields to be defined; it can be an empty class with no members.",Expert1,,,,,,
Q052,Java Programming,Classes & Objects,"Java Programming: classes and objects (class definition, fields, methods, instantiation)",medium,,local,"For a private field in a Java class, which access specifier allows read-only access but not modification?",public,protected,default (package-private),private,D,"Private fields are accessible only within the class, but they can be modified directly if not protected by additional logic, so the question implies understanding that 'private' alone does not inherently restrict modification unless enforced.",Expert1,,,,,,
Q053,Java Programming,Classes & Objects,"Java Programming: classes and objects (class definition, fields, methods, instantiation)",medium,,local,Which of the following correctly describes how static methods are invoked in Java?,"They must be invoked using the class name, e.g., ClassName.methodName().",They can only be invoked using an instance of the class.,They can access instance variables directly without any qualifier.,They are defined in the class but executed at runtime by the JVM.,A,"Static methods are associated with the class itself, not instances, so they are called using the class name and can be accessed without creating an object.",Expert1,,,,,,
Q054,Java Programming,Classes & Objects,"Java Programming: classes and objects (class definition, fields, methods, instantiation)",medium,,local,"When instantiating an object in Java, which keyword is used to create an instance of a class?",new,create,instance,alloc,A,"The 'new' keyword is used in Java to allocate memory and create an instance of a class, initializing the object.",Expert1,,,,,,
Q055,Java Programming,Classes & Objects,"Java Programming: classes and objects (class definition, fields, methods, instantiation)",medium,,local,Consider a class with a constructor that initializes instance fields. What is the primary purpose of instantiation?,To define the class structure and its methods.,To create a new object and set up its initial state.,To allow inheritance from parent classes.,To declare static variables for class-wide use.,B,"Instantiation involves creating an object and initializing its state using a constructor, which sets up the object's fields to their initial values.",Expert1,,,,,,
Q056,Java Programming,Inheritance,"Java Programming: inheritance (extends, super, overriding, polymorphism basics)",hard,,local,Consider the following code snippet. What is the output when we create a Derived object and call method()?,A) Base Derived,B) Derived Base,C) Compilation error,D) Runtime error,B,"The method is called on the Derived object, executing the Derived method first and printing 'Derived', then calling super.method() invokes the Base method, printing 'Base'.",Expert1,,,,,,
Q057,Java Programming,Inheritance,"Java Programming: inheritance (extends, super, overriding, polymorphism basics)",hard,,local,"Given the following code, what is the output when doStuff(new Dog()) is called?",A) Prints 'Animal eats',B) Prints 'Dog eats',C) Compilation error,D) Runtime error,B,"Polymorphism ensures that the overridden method in the Dog class is called, printing 'Dog eats', based on the actual object type.",Expert1,,,,,,
Q058,Java Programming,Inheritance,"Java Programming: inheritance (extends, super, overriding, polymorphism basics)",hard,,local,"In Java, what can the 'super' keyword be used for in a constructor?",A) To call a superclass constructor.,B) To call a superclass method.,C) To access a superclass instance variable.,D) All of the above.,A,"In constructors, 'super' is used exclusively to call a superclass constructor; it cannot be used to call methods or access variables.",Expert1,,,,,,
Q059,Java Programming,Inheritance,"Java Programming: inheritance (extends, super, overriding, polymorphism basics)",hard,,local,Which of the following best explains why the output is 'Bark' in the code where Animal animal = new Dog(); animal.makeSound();?,"A) Because the reference type is Animal, so Animal's makeSound is called.","B) Because the actual object is Dog, so Dog's makeSound is called.",C) Because the method is static.,D) None of the above.,B,"Polymorphism binds the method call to the actual object type (Dog), so Dog's overridden makeSound method is executed, producing 'Bark'.",Expert1,,,,,,
Q060,Java Programming,Inheritance,"Java Programming: inheritance (extends, super, overriding, polymorphism basics)",hard,,local,What is the error in the following code?,A) Method overriding not allowed for final methods.,B) Incompatible types: cannot override method from Base.,C) Method must be static.,D) No error.,A,"A final method cannot be overridden in a subclass, leading to a compilation error.",Expert1,,,,,,
Q061,Java Programming,Collections,"Java Programming: collections (ArrayList, HashMap, List/Map interfaces, basic operations)",hard,,local,"When an element is added to an ArrayList and the current capacity is exceeded, what does the ArrayList do?",It throws an ArrayIndexOutOfBoundsException.,It creates a new array with increased capacity and copies the elements.,"It increases the capacity by a fixed amount each time, regardless of the current size.",It leaves the array unchanged and returns a boolean indicating success.,B,"ArrayList dynamically resizes by creating a new larger array and copying all elements when the number of elements exceeds the current capacity, typically increasing by 50% to optimize performance.",Expert1,,,,,,
Q062,Java Programming,Collections,"Java Programming: collections (ArrayList, HashMap, List/Map interfaces, basic operations)",hard,,local,"In a HashMap, what is the behavior regarding multiple null keys?",It allows multiple null keys without any issues.,It does not allow any null keys for the key but allows null for the value.,It allows exactly one null key to avoid hash collisions.,It always uses null keys for all entries by default.,C,HashMap permits exactly one null key because multiple null keys would cause hash collisions and violate the Map interface's uniqueness requirement for keys.,Expert1,,,,,,
Q063,Java Programming,Collections,"Java Programming: collections (ArrayList, HashMap, List/Map interfaces, basic operations)",hard,,local,What happens to the size of an ArrayList when you remove an element using the remove() method?,"The size remains the same, but the element is moved to the end.","The size decreases by one, and elements after the removed index are shifted left.",The size increases by one to accommodate the removal operation.,"The size changes based on the element's value, not the operation.",B,"Removing an element from an ArrayList decreases the size by one, and all subsequent elements are shifted to fill the gap, ensuring the list maintains contiguous memory.",Expert1,,,,,,
Q064,Java Programming,Collections,"Java Programming: collections (ArrayList, HashMap, List/Map interfaces, basic operations)",hard,,local,What is the average time complexity for retrieving an element from a HashMap using the get() method?,"O(n), as it may need to search through all entries.","O(log n), due to a balanced tree structure.","O(1), on average, because it uses a hash function to locate the entry.","O(n log n), similar to a HashMap sort operation.",C,"HashMap achieves average constant-time complexity for get operations by hashing the key to directly access the bucket, though worst-case scenarios can degrade performance.",Expert1,,,,,,
Q065,Java Programming,Collections,"Java Programming: collections (ArrayList, HashMap, List/Map interfaces, basic operations)",hard,,local,"When iterating over a List and modifying the underlying ArrayList during iteration, what is a common issue that can arise?",The iteration completes without any issues.,It throws a NullPointerException if the list contains null elements.,It may throw a ConcurrentModificationException due to modification during iteration.,The modification automatically creates a new iterator instance.,C,"Modifying an ArrayList while iterating over it using an iterator can cause a ConcurrentModificationException, as the iterator relies on the underlying list's modification count.",Expert1,,,,,,
Q066,Data Structures,Arrays,"Data Structures: arrays (static/dynamic arrays, indexing, traversal, time complexity intro)",easy,,local,What is the primary difference between a static array and a dynamic array?,"Static arrays are implemented in hardware, dynamic in software.","Static arrays have a fixed size, while dynamic arrays can grow or shrink.","Dynamic arrays are part of the standard library, static are built-in.",Static arrays use less memory than dynamic arrays.,B,"Static arrays have a predetermined size that cannot be changed, whereas dynamic arrays can be resized during runtime.",Expert1,,,,,,
Q067,Data Structures,Arrays,"Data Structures: arrays (static/dynamic arrays, indexing, traversal, time complexity intro)",easy,,local,"In most programming languages, how is the first element of an array accessed?",Using index 0.,Using index 1.,Using a special function.,The array name alone.,A,"Array indexing typically starts at 0 for zero-based indexing, allowing direct access to the first element.",Expert1,,,,,,
Q068,Data Structures,Arrays,"Data Structures: arrays (static/dynamic arrays, indexing, traversal, time complexity intro)",easy,,local,Which loop is commonly used to iterate through all elements of an array?,for loop with index.,while loop with condition.,do-while loop.,nested loops.,A,A for loop is often used for iterating through arrays because it directly uses the index and handles the range efficiently.,Expert1,,,,,,
Q069,Data Structures,Arrays,"Data Structures: arrays (static/dynamic arrays, indexing, traversal, time complexity intro)",easy,,local,What is the time complexity to access the k-th element of an array?,O(log n),O(1),O(n),O(n log n),B,"Arrays provide constant time access to elements via direct indexing, making it O(1) time complexity.",Expert1,,,,,,
Q070,Data Structures,Arrays,"Data Structures: arrays (static/dynamic arrays, indexing, traversal, time complexity intro)",easy,,local,Why are dynamic arrays often preferred over static arrays?,They are faster to access elements.,They can change size during program execution.,They use less memory.,They are automatically sorted.,B,"Dynamic arrays allow for efficient resizing during runtime, providing flexibility that static arrays lack due to their fixed size.",Expert1,,,,,,
Q071,Data Structures,Linked Lists,"Data Structures: linked lists (singly/doubly linked, insertion, deletion, traversal)",medium,,local,What is a key advantage of a doubly linked list over a singly linked list?,Faster traversal,Less memory per node,Ability to traverse backwards,Easier deletion,C,"Doubly linked lists allow bidirectional traversal, which is not possible in singly linked lists.",Expert1,,,,,,
Q072,Data Structures,Linked Lists,"Data Structures: linked lists (singly/doubly linked, insertion, deletion, traversal)",medium,,local,"In a singly linked list, to insert a node at the head, what must be done first?",Set the new node's next pointer to the current head,Set the head pointer to the new node,Traverse to the end of the list,Remove the old head,B,The head pointer must be updated to the new node before any other operations.,Expert1,,,,,,
Q073,Data Structures,Linked Lists,"Data Structures: linked lists (singly/doubly linked, insertion, deletion, traversal)",medium,,local,"In a doubly linked list, when deleting a node, which pointers need to be updated?",Only the next pointer of the previous node,Only the prev pointer of the next node,Both the next pointer of the previous node and the prev pointer of the next node,Only the node's data pointer,C,"In a doubly linked list, updating both the previous node's next and the next node's prev ensures the list remains connected.",Expert1,,,,,,
Q074,Data Structures,Linked Lists,"Data Structures: linked lists (singly/doubly linked, insertion, deletion, traversal)",medium,,local,Which operation has the same time complexity for both singly and doubly linked lists?,Insertion at the beginning,Insertion at the end,Traversal from head to tail,Deletion at a specific position,C,"Traversal in both types of linked lists requires visiting each node once, resulting in O(n) time complexity.",Expert1,,,,,,
Q075,Data Structures,Linked Lists,"Data Structures: linked lists (singly/doubly linked, insertion, deletion, traversal)",medium,,local,In which operation is a singly linked list less efficient than a doubly linked list?,Insertion at the beginning,Deletion at the end,Traversal,Insertion in the middle,A,"Singly linked lists require traversal to find the insertion point, whereas doubly linked lists allow direct access to the previous node for efficient insertion.",Expert1,,,,,,
Q076,Data Structures,Stacks & Queues,"Data Structures: stacks and queues (LIFO/FIFO, push/pop, enqueue/dequeue, applications)",medium,,local,In which scenario would a stack be more appropriate than a queue for managing data?,A. A print spooler that processes jobs in the order they arrive.,B. A browser's back button that navigates back through visited pages.,"C. A line of customers waiting in a bank, served in order of arrival.",D. A real-time system where data must be processed immediately upon arrival.,B,"A stack is LIFO, making it ideal for browser back navigation, which reverses the order of page visits.",Expert1,,,,,,
Q077,Data Structures,Stacks & Queues,"Data Structures: stacks and queues (LIFO/FIFO, push/pop, enqueue/dequeue, applications)",medium,,local,Which of the following is a classic application of a queue?,A. Function call stack in programming languages.,B. Undo/redo functionality in text editors.,C. Breadth-First Search (BFS) algorithm.,D. Managing the call stack in multithreading.,C,"BFS uses a queue to explore nodes level by level, adhering to FIFO order for breadth-first traversal.",Expert1,,,,,,
Q078,Data Structures,Stacks & Queues,"Data Structures: stacks and queues (LIFO/FIFO, push/pop, enqueue/dequeue, applications)",medium,,local,What is a key difference between the push operation on a stack and enqueue operation on a queue?,"A. Push can only be done if there is space, while enqueue always succeeds.","B. Push adds an element to the top, while enqueue adds to the rear.","C. Push is used in stacks, enqueue in queues, but the operation names are different.","D. Push decreases the size, while enqueue increases it.",B,"Push adds elements to the top of a stack (LIFO), while enqueue adds elements to the rear of a queue (FIFO).",Expert1,,,,,,
